white values,brightest color,common color,number of colors,category
1433,255247229,158154143,4658,3
1555,255247229,158154143,4940,3
1683,255247229,158154143,5374,4
1817,255247229,158154143,5627,4
1961,255247229,158154143,5790,4
2111,255247229,158154143,5921,4
2263,255247229,158154143,6067,4
49,234197193,454140,351,0
103,234197193,454140,709,0
157,234197193,165165163,976,0
218,234197193,165165163,1197,0
307,234197193,165165163,1593,0
397,238235230,165165163,1762,1
487,238235230,165165163,1879,1
581,238235230,165165163,2068,1
676,238235230,165165163,2177,1
777,238235230,165165163,2602,1
882,255230175,165165163,2744,2
987,255230175,165165163,2849,2
1096,255230175,165165163,3196,2
1222,255230175,165165163,3525,2
1350,255230175,165165163,3875,2
1479,255230175,165165163,4139,3
1613,255255255,165165163,4265,3
1747,255255255,165165163,4559,3
1888,255255255,165165163,4720,3
2029,255255255,165165163,5037,3
2195,255255255,165165163,5185,4
2361,255255255,165165163,5279,4
2527,255255255,165165163,5361,4
2724,255255255,165165163,5696,4
2941,255255255,165165163,6162,4
63,242241237,484743,249,0
129,242241237,149146141,564,0
197,242241237,149146141,669,0
267,242241237,158154142,945,0
348,242241237,158154142,1180,0
448,247236194,158154142,1531,1
561,247236194,158154142,1641,1
692,255255253,158154142,1974,1
854,255255253,158154142,2400,1
1021,255255253,158154142,2720,1
1192,255255253,158154142,2839,2
1374,255255253,158154142,3060,2
1584,255255253,158154142,3457,2
1796,255255253,158154142,3725,2
2018,255255253,158154142,3968,2
2270,255255253,158154142,4228,3
2546,255255253,158154142,4527,3
2840,255255253,158154142,4760,3
3167,255255253,158154142,4946,3
3503,255255253,158154142,5268,3
3850,255255253,158154142,5565,4
4223,255255253,158154142,5905,4
4596,255255253,158154142,6110,4
4972,255255253,158154142,6210,4
5360,255255253,158154142,6392,4
22,231229209,178172150,339,0
48,231229209,178172150,599,0
106,242238242,178172150,1074,0
168,242238242,178172150,1445,0
248,247246241,150148135,1751,0
336,247246241,150148135,2037,1
426,247246241,150148135,2303,1
516,247246241,163154145,2390,1
607,251254254,163154145,2703,1
700,251254254,163154145,3037,1
794,251254254,163154145,3321,2
897,251254254,163154145,3461,2
1001,251254254,163154145,3826,2
1108,251254254,163154145,3926,2
1219,251254254,163154145,4138,2
1336,255255255,163154145,4357,3
1459,255255255,163154145,4565,3
1582,255255255,163154145,4886,3
1708,255255255,163154145,4935,3
1838,255255255,163154145,5020,3
1979,255255255,163154145,5171,4
2125,255255255,163154145,5623,4
2281,255255255,163154145,6012,4
2442,255255255,163154145,6383,4
2612,255255255,163154145,6734,4
6,250236215,134125120,163,0
27,251226153,141133110,482,0
50,251226153,141133110,902,0
85,251226153,141133110,1196,0
122,251226153,165161150,1475,0
159,251226153,160156145,1579,1
202,251252247,160156145,1821,1
254,251252247,160156145,2086,1
306,251252247,160156145,2121,1
358,251252247,160156145,2146,1
425,251252247,160156145,2386,2
493,251252247,160156145,2601,2
571,251252247,160156145,2819,2
663,251252247,160156145,3104,2
773,251252247,160156145,3343,2
890,251252247,160156145,3633,3
1028,251252247,160156145,4132,3
1171,251252247,160156145,4217,3
1314,251252247,160156145,4529,3
1459,255255251,160156145,4670,3
1605,255255251,160156145,4776,4
1758,255255251,160156145,4843,4
1914,255255251,160156145,4968,4
2073,255255251,160156145,5115,4
2238,255255251,160156145,5351,4
22,255239215,424242,403,0
53,255239215,161161161,596,0
90,255239215,161161161,740,0
129,255239215,161161161,912,0
175,255239215,161161161,1100,0
246,255239215,128125118,1472,1
319,255251253,155147134,1754,1
392,255251253,155147134,1904,1
487,255251253,131127115,2173,1
582,255251253,888472,2526,1
678,255251253,888472,2597,2
808,255251253,888472,2983,2
946,255251253,888472,3337,2
1084,255251253,888472,3488,2
1228,255251253,888472,3667,2
1372,255251253,888472,3729,3
1518,255251253,888472,3817,3
1671,255251253,888472,4038,3
1841,255251253,888472,4262,3
2014,255251253,888472,4326,3
2193,255251253,888472,4728,4
2390,255251253,888472,5194,4
2590,255251253,888472,5526,4
2825,255251253,888472,6050,4
3066,255251253,888472,6244,4
8,228232239,99121144,82,0
27,228232239,99121144,416,0
55,250251240,1039990,742,0
165,250251240,1009153,1123,0
280,255255250,157156154,1322,0
419,255255250,134126115,1726,1
574,255255250,134126115,2018,1
730,255255250,134126115,2131,1
900,255255250,134126115,2425,1
1071,255255250,134126115,2710,1
1249,255255250,134126115,2975,2
1427,255255250,134126115,3067,2
1606,255255250,134126115,3375,2
1787,255255250,134126115,3674,2
1969,255255250,134126115,3836,2
2155,255255250,134126115,3891,3
2347,255255253,134126115,4191,3
2543,255255253,134126115,4747,3
2754,255255253,134126115,4975,3
2970,255255253,134126115,5092,3
3194,255255253,134126115,5531,4
3461,255255253,134126115,5818,4
3766,255255253,134126115,5998,4
4097,255255253,134126115,6226,4
4443,255255253,134126115,6585,4
23,254249228,414143,406,0
50,254249228,414143,1071,0
87,254249228,1201923,1409,0
133,254249228,139127105,1742,0
180,254249228,139127105,1866,0
233,255255255,139127105,2025,1
304,255255255,178171153,2464,1
377,255255255,170161152,2716,1
457,255255255,170161152,2971,1
538,255255255,170161152,3169,1
641,255255255,170161152,3475,2
744,255255255,170161152,3577,2
856,255255255,170161152,3894,2
979,255255255,170161152,4120,2
1102,255255255,170161152,4254,2
1225,255255255,170161152,4285,3
1348,255255255,170161152,4299,3
1486,255255255,161151141,4414,3
1650,255255255,161151141,4847,3
1826,255255255,163153143,5051,3
2018,255255255,163153143,5594,4
2231,255255255,163153143,5823,4
2463,255255255,163153143,6108,4
2720,255255255,163153143,6487,4
2978,255255255,163153143,6553,4
11,235228222,111106103,188,0
25,235228222,151148143,507,0
67,247244239,908685,745,0
117,247244239,908685,1059,0
234,252246230,908685,1409,0
357,252246230,908685,1483,1
480,252246230,908685,1668,1
605,252246230,908685,1808,1
