white values,brightest color,common color,number of colors,category
3990,255255255,565241,4981,3
4286,255255255,565241,5225,3
4590,255255255,565241,5687,4
4915,255255255,565241,6005,4
5299,255255255,565241,6279,4
5684,255255255,565241,6380,4
6079,255255255,565241,6701,4
3,210195176,989493,253,0
47,250215103,989493,629,0
94,250215103,1049484,821,0
169,250215103,1049484,1228,0
295,250215103,1049484,1477,0
429,250215103,1049484,1959,1
568,250215103,1049484,2227,1
713,250215103,1049484,2447,1
858,250215103,1049484,2640,1
1012,250215103,132132130,2905,1
1169,250215103,152154167,3126,2
1327,250215103,152154167,3320,2
1502,250215103,152154167,3472,2
1683,250215103,152154167,3884,2
1867,250215103,152154167,4006,2
2053,250215103,152154167,4181,3
2254,250215103,168156144,4343,3
2466,250215103,168156144,4584,3
2683,255250206,168156144,4859,3
2900,255250206,168156144,5029,3
3123,255250206,168156144,5278,4
3350,255250206,168156144,5557,4
3604,255250206,168156144,5871,4
3871,255250206,168156144,6003,4
4151,255250206,168156144,6231,4
1,201194176,150142119,226,0
21,251240220,150142119,416,0
45,251240220,150142119,855,0
97,251240220,150142119,1087,0
153,251240220,159151140,1465,0
213,251240220,156158171,1728,1
277,251240220,156158171,2152,1
350,251240220,156158171,2601,1
423,251240220,156158171,2712,1
502,251240220,156158171,2937,1
589,251240220,156158171,3151,2
678,251240220,156158171,3375,2
771,251240220,156158171,3531,2
864,251240220,156158171,3719,2
969,255244226,156158171,3958,2
1086,255244226,156158171,4087,3
1232,255255253,156158171,4640,3
1378,255255253,156158171,4743,3
1524,255255253,156158171,5092,3
1695,255255253,156158171,5445,3
1872,255255253,156158171,5591,4
2063,255255253,156158171,5857,4
2255,255255253,156158171,6245,4
2468,255255253,156158171,6531,4
2707,255255253,156158171,7083,4
3,216214215,158155148,293,0
45,237222218,158155148,635,0
113,237222218,158155148,997,0
196,237222218,158155148,1264,0
280,237222218,180179177,1545,0
366,237222218,180179177,1781,1
452,237222218,180179177,1878,1
544,237222218,180179177,2210,1
639,237222218,180179177,2451,1
734,237222218,180179177,2667,1
845,255223158,180179177,3054,2
960,255223158,180179177,3302,2
1079,255223158,180179177,3573,2
1198,255223158,180179177,3806,2
1339,255223158,180179177,4205,2
1491,255223158,180179177,4356,3
1645,255255253,180179177,4499,3
1811,255255253,180179177,4829,3
1985,255255253,180179177,5066,3
2163,255255253,180179177,5212,3
2351,255255253,18514180,5496,4
2539,255255253,18514180,5779,4
2732,255255253,18514180,6001,4
2957,255255253,16512564,6218,4
3189,255255253,16512564,6558,4
8,232232227,143139136,276,0
26,232232227,143139136,398,0
44,232232227,143139136,687,0
65,232232227,146146146,901,0
90,232232227,146146146,1081,0
117,232232227,140139137,1281,1
144,232232227,140139137,1379,1
177,241242243,140139137,1520,1
212,241242243,160162174,1767,1
252,241242243,160162174,2112,1
304,255246204,160162174,2257,2
363,255246204,160162174,2530,2
442,255246204,160162174,2736,2
538,255246204,160162174,3053,2
643,255246204,160162174,3281,2
775,255246204,160162174,3825,3
911,255246204,160162174,4084,3
1059,255246204,160162174,4260,3
1212,255246204,160162174,4530,3
1375,255246204,10108,4902,3
1582,255246204,10108,5366,4
1800,255246204,10108,5768,4
2026,255246204,10108,6193,4
2252,255246204,10108,6323,4
2496,255246204,10108,6978,4
16,225214207,11110485,337,0
37,225214207,156153146,573,0
68,225214207,156153146,822,0
131,240237228,262624,1242,0
207,240237228,262624,1572,0
289,240237228,262624,1864,1
373,240237228,262624,2111,1
486,254255255,262624,2326,1
605,254255255,262624,2672,1
727,254255255,262624,2998,1
852,254255255,262624,3233,2
984,254255255,262624,3497,2
1131,254255255,262624,3909,2
1290,255255253,262624,4200,2
1453,255255253,262624,4494,2
1626,255255253,262624,4884,3
1814,255255253,262624,5196,3
2033,255255253,262624,5518,3
2273,255255255,262624,6097,3
2529,255255255,262624,6320,3
2787,255255255,262624,6635,4
3061,255255255,262624,6917,4
3362,255255255,262624,7009,4
3663,255255255,262624,7197,4
4002,255255255,262624,7418,4
21,246240234,175195,151,0
59,255229186,887249,329,0
107,255229186,160159155,549,0
177,255229186,160159155,771,0
276,255229186,160159155,1075,0
375,255229186,160159155,1174,1
478,255229186,160159155,1431,1
581,255229186,160159155,1542,1
701,255229186,175171160,1749,1
824,255229186,175171160,2190,1
949,255229186,175171160,2490,2
1074,255229186,175171160,2670,2
1202,255255244,175171160,2999,2
1342,255255244,175171160,3208,2
1503,255255244,175171160,3482,2
1690,255255244,179169159,3684,3
1883,255255244,179169159,4199,3
2082,255255244,179169159,4330,3
2292,255255255,179169159,4593,3
2508,255255255,179169159,4725,3
2724,255255255,179169159,4837,4
2941,255255255,179169159,5019,4
3167,255255255,179169159,5349,4
3396,255255255,179169159,5690,4
3631,255255255,179169159,6057,4
6,235222203,169159149,181,0
35,250193177,232426,578,0
78,250193177,140132121,996,0
126,250193177,232323,1219,0
188,251205199,232323,1508,0
255,251205199,162162172,1764,1
328,251205199,161163176,1942,1
415,251205199,161163176,2244,1
506,251205199,161163176,2711,1
600,251205199,161163176,2880,1
695,251205199,161163176,3105,2
797,251205199,161163176,3388,2
919,251252250,161163176,3835,2
1044,251252250,161163176,4178,2
1178,253238213,161163176,4454,2
1323,255255247,161163176,4736,3
1486,255255247,161163176,4997,3
1652,255255247,161163176,5259,3
1824,255255247,161163176,5518,3
2013,255255247,161163176,5737,3
2203,255255247,161163176,6158,4
2394,255255247,161163176,6418,4
2591,255255247,161163176,6607,4
2790,255255247,161163176,6890,4
2990,255255247,161163176,7404,4
